81,0.91,0.94,0.92,0.9,0.96,0.92,0.92,0.95,0.94,0.91,0.93,0.94,0.93,0.92,0.87,0.92,0.95,0.91,0.9,0.89,0.93,0.91,0.88,0.97,0.95,0.95,0.89,0.91,0.92,0.93,0.92,0.85,0.93,0.94,0.92,0.92,0.92,0.92,0.93,0.89,0.94,0.89,0.91,0.92,0.88,0.92,0.93,0.94,0.92,0.95,0.95,0.93,0.94,0.97,0.94,0.86,0.94,0.91,0.91,0.87,0.94,0.93,0.9,0.91,0.92,0.91,0.89,0.92,0.95,0.93,0.92,0.91,0.92,0.94,0.91,0.95,0.92,0.91,0.94,0.94,0.91,0.89,0.94,0.95,0.9,0.88,0.95,0.86,0.94,0.88,0.97,0.93,0.95,0.91,0.91,0.92,0.93,0.91,0.95,0.88
575,0.96,0.96,0.97,0.92,0.95,0.93,0.92,0.96,0.95,0.95,0.97,1.0,0.97,0.94,0.95,0.94,0.91,0.95,0.95,0.95,0.95,0.96,0.94,0.97,0.95,0.98,0.94,0.97,0.96,0.95,0.96,0.97,0.96,0.96,0.96,0.95,0.96,0.96,0.95,0.93,0.94,0.96,0.93,0.96,0.95,0.91,0.95,0.97,0.99,0.96,0.95,0.95,0.93,0.94,0.98,0.96,0.95,0.96,0.94,0.94,0.92,0.98,0.97,0.93,0.96,0.95,0.98,0.94,0.96,0.95,0.98,0.98,0.95,0.94,0.95,0.91,0.97,0.95,0.91,0.94,0.97,0.96,0.96,0.96,0.96,0.94,0.96,0.94,0.94,0.92,0.89,0.94,0.94,0.96,0.96,0.9,0.97,0.94,0.99,0.95
349,0.59,0.52,0.53,0.58,0.54,0.47,0.56,0.61,0.6,0.54,0.61,0.53,0.59,0.6,0.59,0.55,0.55,0.54,0.58,0.57,0.58,0.51,0.55,0.54,0.61,0.59,0.56,0.55,0.55,0.52,0.57,0.59,0.49,0.52,0.55,0.54,0.56,0.52,0.58,0.51,0.64,0.5,0.53,0.59,0.52,0.56,0.5,0.57,0.51,0.57,0.53,0.48,0.58,0.54,0.58,0.52,0.59,0.53,0.55,0.57,0.57,0.56,0.54,0.58,0.61,0.56,0.6,0.51,0.57,0.49,0.44,0.54,0.51,0.53,0.62,0.6,0.55,0.56,0.55,0.6,0.54,0.53,0.58,0.54,0.55,0.53,0.58,0.57,0.62,0.53,0.59,0.53,0.54,0.6,0.55,0.55,0.55,0.56,0.49,0.65
215,0.88,0.89,0.89,0.93,0.9,0.89,0.86,0.91,0.87,0.91,0.86,0.92,0.86,0.92,0.83,0.88,0.83,0.93,0.93,0.88,0.91,0.86,0.93,0.86,0.9,0.9,0.87,0.88,0.91,0.85,0.91,0.86,0.82,0.84,0.86,0.92,0.91,0.92,0.84,0.87,0.88,0.87,0.89,0.86,0.84,0.9,0.88,0.88,0.89,0.9,0.84,0.87,0.83,0.84,0.9,0.87,0.88,0.89,0.88,0.86,0.84,0.85,0.85,0.89,0.9,0.84,0.94,0.84,0.82,0.95,0.91,0.89,0.95,0.9,0.94,0.9,0.94,0.88,0.91,0.91,0.88,0.87,0.87,0.86,0.89,0.94,0.82,0.86,0.87,0.87,0.9,0.85,0.85,0.82,0.93,0.85,0.87,0.89,0.87,0.86
886,0.7,0.72,0.72,0.69,0.7,0.67,0.66,0.67,0.67,0.72,0.72,0.69,0.63,0.68,0.67,0.66,0.69,0.67,0.69,0.71,0.76,0.67,0.7,0.73,0.68,0.68,0.65,0.66,0.69,0.68,0.67,0.67,0.7,0.7,0.69,0.66,0.66,0.69,0.67,0.71,0.7,0.69,0.67,0.71,0.72,0.72,0.71,0.73,0.65,0.68,0.7,0.71,0.72,0.67,0.68,0.7,0.72,0.68,0.66,0.73,0.7,0.68,0.75,0.7,0.71,0.72,0.73,0.7,0.67,0.73,0.72,0.7,0.66,0.69,0.71,0.68,0.69,0.63,0.7,0.69,0.7,0.73,0.64,0.73,0.69,0.64,0.74,0.7,0.68,0.66,0.7,0.68,0.66,0.68,0.66,0.68,0.63,0.64,0.7,0.63
561,0.96,0.95,0.94,0.96,0.94,0.97,0.95,0.96,0.94,0.96,0.98,0.95,0.88,0.96,0.91,0.95,0.94,0.94,0.94,0.94,0.92,0.98,0.96,0.94,0.97,0.96,0.96,0.94,0.95,0.97,0.93,0.97,0.96,0.96,0.99,0.91,0.96,0.95,0.96,0.92,0.94,0.96,0.95,0.98,0.99,0.99,0.92,0.96,0.94,0.95,0.98,0.97,0.95,0.94,0.98,0.98,0.95,0.96,0.97,0.91,0.98,0.95,0.96,0.94,0.93,0.96,0.95,0.9,0.97,0.97,0.95,0.97,0.99,0.95,0.96,0.95,0.95,0.94,0.96,0.95,0.93,0.96,0.98,0.96,0.97,0.99,0.93,0.97,0.95,0.94,0.94,0.95,0.94,0.97,0.97,0.94,0.96,0.93,0.96,0.93
46,0.88,0.84,0.88,0.86,0.89,0.87,0.84,0.86,0.87,0.87,0.91,0.88,0.86,0.87,0.88,0.88,0.9,0.82,0.86,0.9,0.86,0.79,0.93,0.88,0.83,0.84,0.9,0.87,0.86,0.87,0.84,0.75,0.85,0.81,0.92,0.84,0.89,0.86,0.87,0.89,0.9,0.86,0.9,0.82,0.83,0.87,0.82,0.85,0.84,0.91,0.87,0.91,0.89,0.87,0.89,0.86,0.89,0.88,0.88,0.82,0.91,0.88,0.93,0.89,0.85,0.88,0.79,0.86,0.85,0.86,0.9,0.87,0.89,0.87,0.88,0.86,0.88,0.89,0.87,0.82,0.87,0.83,0.91,0.81,0.81,0.85,0.88,0.84,0.83,0.81,0.84,0.92,0.85,0.87,0.85,0.79,0.87,0.86,0.82,0.92
814,0.86,0.88,0.84,0.86,0.89,0.82,0.85,0.91,0.87,0.88,0.81,0.89,0.83,0.91,0.84,0.83,0.89,0.91,0.86,0.86,0.91,0.89,0.84,0.91,0.81,0.85,0.9,0.89,0.89,0.84,0.88,0.88,0.91,0.88,0.82,0.88,0.84,0.84,0.85,0.86,0.84,0.9,0.9,0.88,0.86,0.82,0.92,0.86,0.87,0.85,0.88,0.89,0.84,0.93,0.89,0.9,0.83,0.86,0.86,0.89,0.87,0.87,0.84,0.86,0.83,0.83,0.84,0.86,0.93,0.88,0.83,0.92,0.89,0.87,0.92,0.92,0.88,0.87,0.84,0.85,0.86,0.8,0.85,0.83,0.85,0.9,0.9,0.89,0.86,0.83,0.9,0.88,0.92,0.8,0.84,0.9,0.88,0.87,0.86,0.86
297,0.64,0.69,0.67,0.69,0.61,0.66,0.67,0.68,0.71,0.73,0.59,0.59,0.62,0.65,0.62,0.59,0.64,0.61,0.68,0.57,0.68,0.62,0.6,0.69,0.65,0.65,0.59,0.62,0.6,0.72,0.61,0.65,0.62,0.63,0.59,0.7,0.67,0.66,0.59,0.6,0.63,0.65,0.64,0.67,0.66,0.61,0.65,0.66,0.61,0.59,0.62,0.61,0.66,0.66,0.69,0.57,0.55,0.63,0.67,0.66,0.62,0.63,0.73,0.65,0.67,0.62,0.72,0.63,0.65,0.61,0.71,0.64,0.67,0.6,0.57,0.66,0.62,0.56,0.65,0.6,0.63,0.59,0.56,0.65,0.61,0.57,0.59,0.58,0.63,0.69,0.62,0.62,0.62,0.67,0.52,0.63,0.67,0.65,0.67,0.56
418,0.94,0.96,0.92,0.96,0.93,0.96,0.96,0.94,0.97,0.94,0.96,0.94,0.98,0.97,0.98,0.98,0.95,0.95,0.96,0.99,0.93,0.96,0.96,0.99,0.92,0.95,0.93,0.93,0.98,0.95,0.97,0.96,0.92,0.95,0.96,0.94,0.97,0.97,0.98,0.96,0.97,0.96,0.89,0.97,0.96,0.97,0.97,0.97,0.98,0.95,0.93,0.96,0.95,0.98,0.96,0.95,0.97,0.96,0.95,0.97,0.94,0.96,0.96,0.94,0.97,0.96,0.93,0.94,0.97,0.95,0.98,0.98,0.96,0.93,0.94,0.93,0.98,0.94,0.91,0.95,0.95,0.95,0.96,0.93,0.98,0.97,0.95,0.95,0.99,0.95,0.94,0.92,0.96,0.93,0.95,0.97,0.91,0.96,0.96,0.96
727,0.64,0.63,0.72,0.75,0.72,0.58,0.66,0.68,0.69,0.68,0.76,0.64,0.7,0.59,0.66,0.62,0.7,0.76,0.73,0.69,0.7,0.65,0.75,0.61,0.72,0.61,0.71,0.7,0.68,0.7,0.71,0.75,0.7,0.66,0.65,0.65,0.74,0.63,0.69,0.71,0.64,0.62,0.67,0.57,0.68,0.74,0.72,0.68,0.7,0.65,0.72,0.62,0.59,0.64,0.67,0.61,0.71,0.66,0.65,0.68,0.66,0.67,0.68,0.66,0.69,0.65,0.68,0.61,0.6,0.66,0.72,0.64,0.66,0.7,0.7,0.69,0.73,0.73,0.64,0.71,0.7,0.73,0.7,0.66,0.74,0.64,0.71,0.7,0.7,0.75,0.72,0.62,0.68,0.7,0.58,0.72,0.7,0.68,0.65,0.7
80,0.75,0.79,0.77,0.83,0.77,0.72,0.79,0.82,0.8,0.73,0.81,0.71,0.75,0.8,0.79,0.81,0.76,0.82,0.76,0.8,0.72,0.82,0.75,0.81,0.76,0.75,0.75,0.74,0.74,0.77,0.81,0.79,0.83,0.7,0.77,0.74,0.82,0.77,0.82,0.83,0.74,0.8,0.76,0.82,0.76,0.75,0.77,0.78,0.82,0.78,0.74,0.73,0.85,0.81,0.78,0.79,0.75,0.77,0.75,0.75,0.75,0.74,0.78,0.7,0.72,0.78,0.78,0.78,0.79,0.77,0.74,0.78,0.77,0.79,0.76,0.8,0.79,0.78,0.78,0.73,0.79,0.74,0.75,0.74,0.81,0.75,0.8,0.82,0.71,0.75,0.73,0.73,0.75,0.8,0.8,0.74,0.78,0.76,0.78,0.78
431,0.95,0.97,0.97,0.98,0.95,0.95,0.98,0.98,0.96,0.94,0.96,0.96,0.94,0.91,0.97,0.96,0.92,0.97,0.95,0.96,0.92,0.97,0.98,0.94,0.99,0.97,0.97,0.94,1.0,0.95,0.96,0.93,0.96,0.93,0.97,0.94,0.97,0.95,0.96,0.97,0.94,0.95,0.93,0.96,0.97,0.92,0.98,0.94,0.92,0.95,0.97,0.93,0.97,0.96,0.95,0.93,0.96,0.96,0.98,0.95,0.96,0.96,0.98,0.96,0.95,0.99,0.95,0.96,0.96,0.96,0.96,0.93,0.95,0.98,0.98,0.93,0.94,0.97,0.95,0.97,0.99,0.98,0.94,0.94,0.95,0.96,0.95,0.93,0.94,0.93,0.99,0.93,0.95,0.95,0.94,0.96,0.94,0.95,0.97,0.95
763,0.58,0.6,0.57,0.61,0.61,0.61,0.66,0.59,0.58,0.5,0.65,0.56,0.56,0.64,0.59,0.63,0.65,0.61,0.69,0.62,0.62,0.63,0.54,0.66,0.61,0.58,0.52,0.54,0.61,0.56,0.59,0.62,0.72,0.53,0.63,0.63,0.62,0.53,0.6,0.59,0.67,0.67,0.61,0.57,0.64,0.63,0.57,0.58,0.61,0.66,0.55,0.64,0.69,0.66,0.6,0.56,0.64,0.62,0.57,0.61,0.59,0.62,0.63,0.62,0.56,0.56,0.68,0.59,0.6,0.59,0.59,0.55,0.72,0.61,0.65,0.64,0.62,0.65,0.57,0.51,0.64,0.52,0.62,0.54,0.55,0.54,0.55,0.54,0.66,0.58,0.63,0.56,0.64,0.6,0.54,0.56,0.55,0.59,0.66,0.59
267,0.51,0.55,0.5,0.59,0.57,0.56,0.55,0.48,0.49,0.54,0.61,0.49,0.48,0.51,0.56,0.48,0.57,0.51,0.57,0.57,0.56,0.54,0.51,0.54,0.44,0.48,0.52,0.54,0.51,0.67,0.48,0.54,0.52,0.5,0.63,0.67,0.56,0.5,0.47,0.54,0.45,0.46,0.53,0.5,0.58,0.5,0.52,0.53,0.52,0.61,0.55,0.56,0.55,0.56,0.58,0.67,0.52,0.51,0.53,0.58,0.51,0.55,0.48,0.59,0.56,0.57,0.59,0.53,0.53,0.55,0.59,0.55,0.52,0.51,0.57,0.56,0.51,0.58,0.57,0.5,0.55,0.56,0.57,0.54,0.56,0.55,0.62,0.55,0.58,0.53,0.54,0.55,0.52,0.55,0.48,0.59,0.54,0.66,0.55,0.55
884,0.67,0.65,0.64,0.62,0.67,0.7,0.67,0.68,0.68,0.69,0.65,0.66,0.68,0.66,0.65,0.68,0.66,0.66,0.71,0.64,0.69,0.67,0.67,0.68,0.66,0.69,0.72,0.68,0.71,0.67,0.65,0.7,0.67,0.64,0.69,0.69,0.69,0.62,0.67,0.68,0.67,0.66,0.68,0.68,0.69,0.71,0.67,0.7,0.68,0.68,0.69,0.67,0.7,0.65,0.67,0.64,0.69,0.68,0.69,0.65,0.68,0.65,0.67,0.69,0.66,0.66,0.71,0.65,0.72,0.63,0.66,0.69,0.68,0.69,0.69,0.7,0.65,0.71,0.7,0.7,0.7,0.7,0.7,0.69,0.66,0.67,0.68,0.7,0.63,0.65,0.7,0.65,0.66,0.68,0.67,0.65,0.69,0.66,0.64,0.69
737,0.46,0.46,0.56,0.57,0.56,0.62,0.54,0.45,0.47,0.53,0.54,0.54,0.61,0.49,0.51,0.53,0.55,0.52,0.57,0.56,0.55,0.57,0.49,0.64,0.54,0.51,0.55,0.48,0.49,0.55,0.5,0.63,0.52,0.59,0.44,0.42,0.53,0.59,0.53,0.56,0.53,0.58,0.46,0.6,0.56,0.56,0.49,0.61,0.55,0.47,0.59,0.43,0.51,0.64,0.56,0.56,0.5,0.52,0.44,0.58,0.61,0.57,0.52,0.6,0.57,0.54,0.47,0.52,0.57,0.54,0.49,0.59,0.55,0.56,0.53,0.57,0.53,0.53,0.52,0.55,0.55,0.52,0.51,0.6,0.53,0.55,0.61,0.5,0.6,0.58,0.49,0.57,0.55,0.52,0.49,0.51,0.51,0.61,0.57,0.56
694,0.57,0.51,0.51,0.52,0.51,0.59,0.53,0.53,0.47,0.48,0.52,0.54,0.59,0.55,0.58,0.51,0.41,0.52,0.51,0.6,0.6,0.59,0.48,0.58,0.52,0.55,0.51,0.52,0.55,0.52,0.5,0.55,0.56,0.54,0.54,0.53,0.51,0.57,0.51,0.52,0.55,0.51,0.46,0.45,0.49,0.57,0.51,0.49,0.42,0.49,0.54,0.48,0.57,0.5,0.55,0.5,0.46,0.49,0.5,0.49,0.57,0.56,0.58,0.52,0.48,0.49,0.51,0.53,0.6,0.44,0.52,0.53,0.49,0.53,0.52,0.48,0.44,0.5,0.54,0.55,0.47,0.47,0.57,0.51,0.45,0.54,0.5,0.51,0.55,0.47,0.43,0.5,0.54,0.54,0.55,0.54,0.46,0.56,0.49,0.51
63,0.71,0.69,0.75,0.68,0.7,0.7,0.65,0.68,0.65,0.69,0.65,0.68,0.77,0.73,0.77,0.73,0.7,0.7,0.69,0.68,0.68,0.73,0.78,0.73,0.67,0.75,0.64,0.74,0.65,0.69,0.67,0.69,0.72,0.63,0.72,0.64,0.74,0.72,0.72,0.68,0.73,0.71,0.68,0.71,0.7,0.75,0.66,0.71,0.67,0.76,0.68,0.72,0.7,0.68,0.71,0.7,0.73,0.7,0.68,0.72,0.75,0.66,0.64,0.63,0.65,0.61,0.67,0.66,0.76,0.67,0.7,0.67,0.67,0.75,0.78,0.66,0.63,0.68,0.71,0.72,0.68,0.66,0.61,0.63,0.74,0.78,0.71,0.72,0.71,0.73,0.69,0.71,0.71,0.7,0.72,0.74,0.68,0.72,0.7,0.79
50,0.92,0.8,0.91,0.87,0.89,0.85,0.89,0.89,0.87,0.86,0.88,0.85,0.87,0.86,0.86,0.92,0.9,0.83,0.89,0.89,0.88,0.86,0.87,0.89,0.87,0.91,0.88,0.9,0.92,0.92,0.85,0.91,0.86,0.89,0.9,0.88,0.9,0.86,0.89,0.83,0.86,0.87,0.9,0.9,0.9,0.89,0.89,0.89,0.85,0.86,0.84,0.89,0.92,0.85,0.94,0.89,0.86,0.91,0.91,0.94,0.89,0.92,0.82,0.88,0.92,0.9,0.89,0.89,0.89,0.86,0.81,0.87,0.88,0.89,0.87,0.85,0.9,0.88,0.91,0.84,0.91,0.86,0.87,0.92,0.85,0.84,0.88,0.91,0.92,0.86,0.89,0.92,0.89,0.91,0.82,0.9,0.9,0.86,0.86,0.96
518,0.99,0.94,0.98,0.96,0.94,0.97,0.97,0.93,0.95,0.97,0.97,0.96,0.94,0.94,0.97,0.99,0.97,0.93,0.99,0.98,0.99,0.96,0.97,0.94,0.93,0.96,0.95,0.98,0.94,0.99,0.96,0.96,0.95,0.97,0.98,0.95,0.96,0.96,0.96,0.97,0.94,0.92,0.98,0.96,0.97,0.98,1.0,0.96,0.95,0.97,0.99,0.98,0.98,0.96,0.97,0.97,0.98,0.97,0.97,0.98,1.0,0.97,0.95,0.97,0.97,0.96,0.97,0.96,0.96,0.96,0.98,1.0,0.96,0.99,0.96,0.95,0.98,0.98,0.97,0.96,0.96,0.96,0.96,0.96,0.99,0.97,0.98,0.98,0.96,0.96,0.97,0.95,0.94,0.97,0.96,0.99,0.98,0.99,0.97,0.98
149,0.71,0.66,0.66,0.72,0.63,0.67,0.74,0.57,0.6,0.59,0.63,0.59,0.66,0.68,0.73,0.61,0.6,0.67,0.61,0.62,0.53,0.68,0.57,0.58,0.61,0.56,0.53,0.63,0.61,0.64,0.63,0.68,0.57,0.68,0.59,0.66,0.65,0.6,0.62,0.69,0.62,0.75,0.53,0.63,0.61,0.57,0.68,0.63,0.69,0.62,0.54,0.61,0.61,0.66,0.65,0.62,0.63,0.68,0.63,0.67,0.6,0.62,0.64,0.7,0.6,0.61,0.63,0.59,0.64,0.68,0.67,0.65,0.68,0.65,0.63,0.62,0.64,0.61,0.61,0.59,0.65,0.56,0.65,0.73,0.6,0.69,0.6,0.7,0.65,0.58,0.64,0.68,0.68,0.67,0.7,0.64,0.68,0.62,0.6,0.67
523,0.91,0.91,0.93,0.94,0.95,0.93,0.9,0.88,0.95,0.93,0.92,0.91,0.91,0.94,0.95,0.91,0.95,0.93,0.95,0.9,0.91,0.94,0.93,0.94,0.94,0.94,0.94,0.93,0.9,0.96,0.91,0.89,0.91,0.92,0.94,0.95,0.9,0.93,0.94,0.94,0.91,0.92,0.94,0.91,0.89,0.94,0.92,0.96,0.9,0.89,0.94,0.95,0.92,0.93,0.94,0.94,0.89,0.94,0.9,0.94,0.95,0.97,0.92,0.93,0.93,0.92,0.97,0.93,0.93,0.93,0.95,0.92,0.94,0.93,0.89,0.91,0.89,0.93,0.94,0.94,0.94,0.9,0.92,0.94,0.94,0.91,0.93,0.94,0.92,0.92,0.93,0.93,0.95,0.92,0.9,0.91,0.93,0.93,0.92,0.93
336,0.64,0.69,0.66,0.63,0.68,0.62,0.61,0.61,0.6,0.68,0.61,0.68,0.7,0.63,0.65,0.52,0.51,0.66,0.63,0.61,0.62,0.65,0.63,0.66,0.73,0.52,0.74,0.66,0.58,0.6,0.51,0.64,0.62,0.59,0.72,0.61,0.64,0.57,0.64,0.63,0.64,0.63,0.61,0.69,0.66,0.63,0.68,0.59,0.66,0.71,0.65,0.66,0.53,0.72,0.65,0.7,0.55,0.61,0.6,0.57,0.63,0.59,0.61,0.66,0.56,0.61,0.67,0.59,0.53,0.57,0.62,0.58,0.61,0.69,0.64,0.63,0.68,0.61,0.66,0.61,0.65,0.65,0.58,0.66,0.61,0.68,0.59,0.7,0.62,0.61,0.63,0.66,0.73,0.68,0.61,0.71,0.67,0.62,0.7,0.67
251,0.68,0.68,0.67,0.74,0.74,0.64,0.66,0.69,0.65,0.62,0.58,0.68,0.71,0.63,0.66,0.74,0.68,0.74,0.72,0.75,0.65,0.71,0.57,0.64,0.75,0.71,0.62,0.71,0.67,0.66,0.66,0.6,0.61,0.62,0.61,0.66,0.7,0.65,0.67,0.68,0.66,0.71,0.7,0.64,0.76,0.64,0.68,0.64,0.74,0.66,0.72,0.7,0.67,0.71,0.66,0.6,0.61,0.7,0.7,0.63,0.71,0.71,0.66,0.67,0.74,0.66,0.64,0.72,0.71,0.68,0.66,0.66,0.7,0.63,0.68,0.65,0.67,0.6,0.73,0.67,0.67,0.74,0.62,0.58,0.68,0.65,0.71,0.67,0.66,0.68,0.74,0.67,0.63,0.58,0.66,0.63,0.62,0.73,0.74,0.65
293,0.65,0.63,0.61,0.62,0.63,0.58,0.6,0.7,0.64,0.6,0.66,0.65,0.7,0.68,0.63,0.57,0.58,0.61,0.6,0.68,0.6,0.57,0.65,0.66,0.63,0.64,0.66,0.66,0.65,0.71,0.63,0.66,0.65,0.67,0.66,0.6,0.54,0.68,0.56,0.64,0.6,0.69,0.73,0.7,0.66,0.62,0.61,0.59,0.69,0.59,0.6,0.66,0.65,0.62,0.68,0.63,0.53,0.68,0.75,0.72,0.64,0.6,0.62,0.59,0.6,0.6,0.69,0.71,0.65,0.57,0.57,0.64,0.64,0.63,0.66,0.68,0.72,0.59,0.65,0.59,0.63,0.64,0.66,0.66,0.63,0.72,0.66,0.7,0.6,0.6,0.71,0.6,0.56,0.71,0.59,0.71,0.64,0.7,0.54,0.72
433,0.92,0.89,0.93,0.91,0.96,0.86,0.92,0.95,0.94,0.9,0.89,0.89,0.93,0.9,0.89,0.93,0.91,0.93,0.93,0.91,0.93,0.92,0.93,0.95,0.89,0.94,0.92,0.93,0.94,0.95,0.92,0.89,0.9,0.92,0.9,0.93,0.91,0.92,0.96,0.89,0.93,0.97,0.93,0.9,0.94,0.89,0.9,0.91,0.94,0.9,0.91,0.95,0.88,0.88,0.91,0.86,0.94,0.91,0.9,0.91,0.93,0.9,0.92,0.91,0.92,0.89,0.93,0.86,0.88,0.91,0.94,0.92,0.92,0.89,0.87,0.94,0.88,0.94,0.9,0.86,0.93,0.95,0.9,0.91,0.92,0.94,0.92,0.91,0.94,0.9,0.95,0.92,0.87,0.89,0.91,0.91,0.87,0.96,0.93,0.94
507,0.96,0.91,0.95,0.97,0.97,0.97,0.93,0.9,0.95,0.98,0.94,0.96,0.96,0.97,0.97,0.97,0.97,0.93,0.93,0.95,0.96,0.95,0.94,0.92,0.95,0.92,0.97,0.95,0.96,0.98,0.96,0.94,0.96,0.93,0.97,0.94,0.98,0.97,0.93,0.95,0.95,0.95,0.96,0.94,0.93,0.95,0.95,0.94,0.91,0.96,0.94,0.9,0.96,0.97,0.97,0.92,0.95,0.93,0.94,0.96,0.93,0.96,0.98,0.96,0.93,0.94,0.93,0.95,0.96,0.95,0.97,0.98,0.96,0.95,0.98,0.91,0.96,0.91,0.96,0.95,0.94,0.96,0.91,0.97,0.96,0.94,0.98,0.93,0.94,0.93,0.97,0.95,0.97,0.97,0.96,0.96,0.89,0.94,0.96,0.96
422,0.91,0.93,0.92,0.96,0.9,0.93,0.92,0.92,0.89,0.91,0.83,0.86,0.92,0.89,0.9,0.97,0.88,0.87,0.94,0.92,0.93,0.89,0.91,0.89,0.94,0.86,0.9,0.92,0.91,0.92,0.89,0.95,0.88,0.84,0.93,0.9,0.93,0.96,0.87,0.88,0.96,0.91,0.93,0.92,0.89,0.86,0.93,0.92,0.95,0.93,0.86,0.92,0.94,0.9,0.89,0.92,0.91,0.93,0.91,0.95,0.9,0.91,0.87,0.89,0.88,0.9,0.9,0.89,0.91,0.93,0.91,0.88,0.92,0.89,0.91,0.92,0.96,0.84,0.94,0.88,0.97,0.9,0.88,0.92,0.87,0.91,0.93,0.94,0.93,0.94,0.85,0.91,0.92,0.93,0.89,0.91,0.89,0.89,0.9,0.91
177,0.58,0.66,0.7,0.63,0.66,0.67,0.63,0.65,0.66,0.69,0.7,0.7,0.63,0.64,0.68,0.68,0.63,0.65,0.73,0.71,0.66,0.64,0.7,0.63,0.62,0.65,0.68,0.68,0.74,0.64,0.68,0.66,0.6,0.75,0.69,0.66,0.71,0.66,0.69,0.7,0.61,0.63,0.69,0.71,0.67,0.74,0.65,0.66,0.67,0.64,0.66,0.71,0.71,0.64,0.62,0.68,0.71,0.7,0.72,0.76,0.71,0.73,0.66,0.7,0.68,0.7,0.71,0.64,0.7,0.67,0.7,0.7,0.63,0.69,0.7,0.7,0.7,0.66,0.72,0.64,0.64,0.66,0.73,0.64,0.66,0.69,0.58,0.72,0.7,0.69,0.74,0.73,0.73,0.71,0.71,0.71,0.67,0.68,0.66,0.65
796,0.64,0.73,0.61,0.6,0.7,0.64,0.59,0.61,0.6,0.59,0.66,0.59,0.65,0.64,0.66,0.62,0.63,0.75,0.57,0.62,0.57,0.66,0.7,0.7,0.62,0.6,0.69,0.61,0.57,0.74,0.68,0.65,0.61,0.66,0.68,0.7,0.66,0.64,0.61,0.62,0.66,0.67,0.63,0.57,0.67,0.7,0.56,0.66,0.66,0.56,0.6,0.67,0.7,0.64,0.61,0.57,0.61,0.59,0.65,0.57,0.64,0.6,0.62,0.57,0.67,0.72,0.54,0.65,0.55,0.65,0.62,0.68,0.6,0.55,0.62,0.67,0.6,0.73,0.65,0.64,0.62,0.59,0.57,0.49,0.62,0.63,0.66,0.67,0.58,0.63,0.62,0.6,0.57,0.66,0.56,0.66,0.63,0.65,0.55,0.69
197,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.71,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72
72,0.71,0.71,0.69,0.72,0.72,0.74,0.72,0.71,0.72,0.75,0.73,0.7,0.72,0.74,0.74,0.7,0.71,0.73,0.68,0.71,0.73,0.71,0.71,0.67,0.73,0.71,0.7,0.72,0.72,0.68,0.73,0.71,0.72,0.75,0.71,0.66,0.71,0.73,0.71,0.75,0.71,0.71,0.7,0.69,0.69,0.71,0.72,0.71,0.73,0.72,0.71,0.68,0.71,0.7,0.7,0.72,0.71,0.74,0.72,0.73,0.73,0.69,0.72,0.68,0.7,0.72,0.74,0.72,0.68,0.73,0.74,0.71,0.73,0.74,0.68,0.7,0.71,0.72,0.73,0.74,0.73,0.7,0.71,0.7,0.74,0.7,0.71,0.74,0.75,0.72,0.7,0.7,0.74,0.7,0.69,0.7,0.73,0.7,0.72,0.67
147,0.79,0.84,0.78,0.85,0.79,0.85,0.81,0.9,0.84,0.8,0.81,0.83,0.85,0.82,0.9,0.86,0.79,0.8,0.84,0.83,0.78,0.79,0.88,0.82,0.85,0.82,0.86,0.88,0.83,0.86,0.78,0.85,0.82,0.86,0.85,0.77,0.85,0.75,0.83,0.89,0.78,0.85,0.82,0.8,0.85,0.82,0.84,0.86,0.85,0.79,0.85,0.8,0.86,0.79,0.85,0.8,0.81,0.89,0.8,0.87,0.84,0.83,0.86,0.82,0.74,0.83,0.81,0.8,0.81,0.88,0.83,0.84,0.85,0.8,0.87,0.86,0.83,0.82,0.82,0.82,0.85,0.8,0.77,0.81,0.87,0.84,0.77,0.86,0.79,0.85,0.85,0.84,0.81,0.87,0.85,0.79,0.83,0.87,0.86,0.85
